"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100505738",0.617456477377636,6.16203007137918,3.24864265601952,0.00261848842959874,0.0909985429299592,-1.58770238321869
"VNN1",-2.32245370288276,7.84952445418429,-3.24839193880543,0.00262024295005738,0.0909985429299592,-1.58829012569134
"ACY3",-1.52710935670316,6.9890665074283,-3.24818144752468,0.00262171683568273,0.0909985429299592,-1.58878355168889
"REG3G",-1.47607873416792,4.71625602433826,-3.24683074844009,0.00263119344339278,0.0911501059617238,-1.59194944084989
"C1orf177",-0.43114393656897,4.91187133120573,-3.24637189596823,0.0026344202207806,0.0911501059617238,-1.59302479432128
"C19orf12",-0.38020152813586,7.95619157496302,-3.24501546606038,0.00264398111031562,0.091336390109434,-1.59620325140607
"ZNF684",0.450098470812887,6.37713839271471,3.24322025607238,0.00265668569771554,0.0916305144352455,-1.60040888486601
"OIT3",-1.37768747370029,5.57555022356813,-3.24202458531722,0.00266517968392882,0.0916572198915194,-1.60320934934009
"SP6",-0.935614504458208,6.23119820729046,-3.24193134652735,0.00266584313582139,0.0916572198915194,-1.60342770927134
"PIWIL1",0.744390896362371,4.09019656499905,3.2382010400511,0.0026925162414426,0.0924289680559267,-1.61216135686356
"USF1",-0.338441533257026,8.86819765345324,-3.23744453436861,0.00269795651245792,0.0924705565171119,-1.61393193976343
"IFT81",0.456562647484373,7.32687653072434,3.23679168272623,0.0027026598036233,0.0924867948761045,-1.61545976018356
"FUT8",-0.597484906366386,9.49331231937347,-3.23309977954297,0.00272940465379653,0.0932560805696386,-1.6240968076528
"UBR4",-0.460385303178865,11.8882768453526,-3.23218232309748,0.00273608994411618,0.0933386564867215,-1.62624240749545
"EXT1",-0.386185625503955,10.1231317498501,-3.23065695713933,0.00274723951440897,0.0934290445085684,-1.62980902699755
"FAM163B",0.47609602783393,3.96914525362596,3.23065078057888,0.00274728474957742,0.0934290445085684,-1.62982346738665
"MDK",-1.24899105185312,8.16380387463882,-3.2292076269374,0.00275787344628189,0.0936435072202579,-1.63319709321182
"ZNF43",0.362973332586231,8.29927830039416,3.22764510629101,0.0027693818454376,0.0937172676888365,-1.63684892513297
"KIF26A",0.944593356374237,6.35476070175192,3.22753111679211,0.0027702231999141,0.0937172676888365,-1.63711530071386
"PTPRH",-0.770397872287272,10.5681563402169,-3.22703808951534,0.00277386503372543,0.0937172676888365,-1.6382673748429
"SLC2A5",-1.75049775435279,7.94736607066753,-3.22648104139619,0.0027779852626534,0.0937172676888365,-1.63956894453503
"TEX35",0.280581898731358,3.7130943867524,3.22600989442137,0.00278147467554099,0.0937172676888365,-1.64066971576535
"ACP2",-0.558000872397097,8.78696501479722,-3.22510033947721,0.00278822285642794,0.0938001064638613,-1.64279454411895
"VSIG2",2.30549580554487,8.54640232515935,3.22083931861363,0.0028200446939661,0.0947249114023913,-1.65274486287193
"SLC3A1",-1.47586058322975,9.25068213041858,-3.21917430354306,0.0028325730822251,0.0949047762251383,-1.65663123580734
"CRYL1",-0.769326761122051,9.7237155366291,-3.21849556743549,0.00283769543452304,0.0949047762251383,-1.65821521399091
"GCSH",0.42765109954784,6.38157219145019,3.21839969264147,0.00283841970326247,0.0949047762251383,-1.65843894535456
"ST6GALNAC2",0.565545223342856,5.95882489834496,3.21683014785438,0.00285030163153685,0.0951565584378873,-1.6621011330537
"BCAP29",0.58170990594895,9.3209177543496,3.21485648652219,0.002865310152456,0.0955117943654807,-1.66670498386241
"LOC100288748",0.367910358316632,5.62759939737056,3.21411052044505,0.00287100237389221,0.0955558735310518,-1.66844469360335
"NPY6R",-1.18355991546981,7.15836192454335,-3.21330288925258,0.00287717729310648,0.0956158599823092,-1.67032799066945
"SLC6A4",-2.70448947784978,6.96288340608944,-3.21083093356646,0.00289615592884873,0.0961005185070336,-1.67609083119306
"FAM169A",0.716644271255989,7.03064129165054,3.20900926336196,0.00291021824312834,0.0962636094522167,-1.680336261251
"C1QTNF7",0.862271997046891,6.54060446158956,3.20863430028496,0.00291312082057765,0.0962636094522167,-1.68120996999746
"SOX8",0.742014783937349,4.9547076778043,3.20805812953156,0.00291758631754684,0.0962636094522167,-1.68255241786419
"TRIM14",-0.471289075639157,9.61644632202514,-3.20735202479294,0.00292306773777497,0.0962636094522167,-1.6841974418703
"LRRC66",-0.948343665742369,8.52924166504805,-3.206845133463,0.00292700873377828,0.0962636094522167,-1.68537824414375
"ZNF726",0.533690250047764,4.986233793541,3.20626743650145,0.00293150640518541,0.0962636094522167,-1.68672387490308
"NEURL3",-0.71603018890912,4.91476566769443,-3.20565143843712,0.00293630952518166,0.0962636094522167,-1.68815858774401
"GNPTAB",0.488732567458161,10.5724334126491,3.20529798647339,0.00293906887993446,0.0962636094522167,-1.6889817460928
"CPM",0.947063456635453,9.3253936324081,3.20464804321451,0.00294414935487881,0.0962636094522167,-1.69049528860889
"ZNF682",0.50725746283901,5.95545648379357,3.20452740513251,0.00294509327861769,0.0962636094522167,-1.69077620535808
"FABP6",-4.31312843683369,8.11221863362404,-3.20342523130866,0.00295373051771336,0.0963203071741612,-1.69334247372147
"MIR5190",-0.371932081632931,4.31537329684822,-3.2031822952765,0.0029556375412202,0.0963203071741612,-1.69390805957205
"RAB33A",-0.499085091553013,4.69024047010604,-3.1986025773133,0.00299180811279266,0.0972053608227165,-1.70456622364831
"BTBD9",-0.328493537884351,9.02987599317114,-3.19800353888299,0.00299657038109335,0.0972053608227165,-1.70595977544223
"DSEL",0.547719033283775,7.54625557727502,3.19774451163567,0.00299863184541299,0.0972053608227165,-1.70656231394523
"ABHD11-AS1",-0.633272683007295,6.61162353845037,-3.19714405374173,0.00300341577674012,0.0972053608227165,-1.70795898064022
"MARVELD1",0.506070999824478,7.86418972411243,3.19599801743578,0.00301256659258403,0.0972053608227165,-1.71062430064498
"PCDHB2",0.375359778654228,4.93220341618759,3.19555581024016,0.00301610460268435,0.0972053608227165,-1.71165260787015
"GALNT6",-0.879253444945429,8.35139457740559,-3.19547132260629,0.00301678102125112,0.0972053608227165,-1.71184906705926
"GIMAP2",-0.638719803379021,7.53239948610215,-3.19527438907675,0.00301835825667099,0.0972053608227165,-1.7123069867381
"HOXC8",-0.965803641263805,4.44144513472138,-3.19436615775597,0.00302564242614033,0.0972966513711921,-1.71441866901929
"RBP2",-3.4930284571959,7.60668054479905,-3.19287841255671,0.00303761058187745,0.0973347413200529,-1.71787710079078
"HLA-E",-0.53045040073264,12.8793324490105,-3.1924691656529,0.00304091066420062,0.0973347413200529,-1.7188283000925
"EXPH5",0.992088447991848,9.76153767111255,3.19220634761251,0.00304303177458098,0.0973347413200529,-1.71943912736171
"FAT3",0.737133748320733,5.75128909590814,3.19200821334546,0.00304463177678311,0.0973347413200529,-1.71989960351375
"IMPA2",0.618164503726051,8.78789609164076,3.19053448368341,0.00305655781515736,0.097573357290578,-1.72332419226304
"VPS13A-AS1",-0.341196656378618,5.34799894915678,-3.18909715740117,0.00306823210274209,0.0977722707848789,-1.72666342525469
"USP30-AS1",-0.458997398663717,5.5557611853636,-3.18866734461558,0.00307173137738198,0.0977722707848789,-1.72766183077275
"CCR9",-1.13129723271857,5.44635057211522,-3.1857553775861,0.00309553911735135,0.098385995823669,-1.73442421622857
"CALM3",-0.44773204711801,11.0418323944042,-3.1852107344495,0.00310001148408597,0.098385995823669,-1.73568868257784
"ACOT11",-0.676708643733528,9.49170020151438,-3.18411759608923,0.00310900641981383,0.0984937572515538,-1.73822623072973
"C11orf86",-1.40860687664441,8.00123101306928,-3.18370410262196,0.00311241534096235,0.0984937572515538,-1.7391859764587
"PPARA",-0.514565947599523,10.5848325491383,-3.18252731693658,0.00312213647676033,0.0985281221777831,-1.74191703108273
"TMEM74",0.525163726635962,4.18062143717412,3.18248182450607,0.00312251285815172,0.0985281221777831,-1.74202259857922
"MFSD4",1.31805372255815,7.99728935611222,3.18112139741823,0.00313378832407392,0.098625451345492,-1.74517918798055
"SLC39A5",-0.898562573608822,10.2655224498011,-3.1810214952259,0.00313461785727887,0.098625451345492,-1.74541096356974
"MS4A10",-3.03038399612811,6.49070664149102,-3.1804702553123,0.00313919881200791,0.0986276730203691,-1.74668978810195
"SLC51A",-1.89743283048128,8.38377430527666,-3.17958102622739,0.00314660198275455,0.0987184297803353,-1.74875248041382
"BCAS1",0.754528162566587,10.7918579438808,3.17790001843746,0.00316064243550306,0.0988790391278745,-1.75265102134713
"CSRP2",0.497552886114668,6.46634527323765,3.17636087623426,0.00317355024366496,0.0988790391278745,-1.75621964065113
"PAK1IP1",0.513398292907734,7.70307059353662,3.17567690574374,0.00317930235608328,0.0988790391278745,-1.75780519888068
"PLD1",-0.532294832278086,10.4992694963997,-3.17557670519312,0.00318014586385692,0.0988790391278745,-1.75803746608266
"EPHA4",0.877014966019812,7.66169429929915,3.17525363368627,0.00318286699337968,0.0988790391278745,-1.75878632814888
"ARRDC4",0.578062580866423,10.2605203282749,3.17524589970339,0.00318293216142947,0.0988790391278745,-1.75880425462655
"GNLY",-0.770904371471933,5.76393366345604,-3.17519344410038,0.00318337419609565,0.0988790391278745,-1.75892584006488
"PHKA2-AS1",-0.366110393284538,5.72090680550394,-3.17375390725181,0.00319552775878998,0.0991157524843412,-1.76226210824085
"TMEM176B",-0.56117728472064,10.8869378791523,-3.17175162009825,0.00321250588442865,0.0991916270194721,-1.76690133476714
"RBKS",-0.80613504476906,6.8552635950968,-3.1716628049888,0.00321326096479257,0.0991916270194721,-1.76710708187293
"PAPPA2",0.89905164016328,5.60232120533382,3.17106516310703,0.00321834633620768,0.0991916270194721,-1.76849149000208
"ATP6V1F",-0.364138364743603,7.62179248684494,-3.17085574668578,0.00322013008443164,0.0991916270194721,-1.76897656166516
"LGI2",0.671017715965302,5.75932012859017,3.17079418265792,0.0032206546478175,0.0991916270194721,-1.76911915946082
"PRR15L",-0.644951425562213,10.3685335130348,-3.16866556216331,0.00323884188850092,0.0996114705708153,-1.77404871909311
"FAM183A",0.356385170869717,3.96480853830067,3.16749227206109,0.00324890837759771,0.0997807296249004,-1.77676516309977
"APOC3",-3.390146624265,6.21942016558513,-3.16581306057352,0.00326336732093832,0.100053372396233,-1.78065204792068
"MGAT4C",0.47984490640565,4.45227102607057,3.16539959833048,0.00326693684048614,0.100053372396233,-1.78160893211634
"CTAGE9",-0.516702431819704,6.58860624766895,-3.16415690504891,0.00327768768206317,0.100242232928217,-1.78448454123155
"SLC15A1",-3.1766519928946,8.37995401913022,-3.1633750863854,0.00328446862195266,0.100254229144146,-1.78629338662089
"NAALADL1",-2.20134598021135,7.87030418839578,-3.16305491796116,0.00328724938475112,0.100254229144146,-1.78703407498165
"FBP1",-1.49688452696821,9.09813186151402,-3.16232252453977,0.00329361887283114,0.100308584808076,-1.78872827533789
"MEP1B",-2.86926893067137,9.61987055217998,-3.16013511114544,0.00331271235271826,0.100700719893954,-1.79378709669666
"SMOC1",0.473382874522743,5.78783202078989,3.15979336599611,0.00331570486686087,0.100700719893954,-1.79457728850821
"LOC728342",0.406615088005393,4.44312644272621,3.15680582110363,0.00334197519638357,0.101357796975478,-1.80148331426086
"SLC26A2",1.61214871370235,13.2653344859632,3.15607441051741,0.00334843679067121,0.101398386203717,-1.80317354038082
"CCDC80",1.3003069561706,9.52607336890087,3.15560527253456,0.00335258760805264,0.101398386203717,-1.80425757235128
"TACC1",0.457685917783632,11.4105395650544,3.15459115813653,0.00336157696737255,0.101529839151292,-1.80660059471335
"SNORD116-21",0.49654619160077,4.94187390170524,3.15375505439042,0.0033690056281444,0.101565906321383,-1.80853205034548
"AADAC",-3.04967522841612,6.36641624459295,-3.15341172847806,0.00337206054736927,0.101565906321383,-1.80932508057669
"NEFM",0.661813788278343,4.41584473750102,3.15248082060281,0.00338035703719516,0.101675745986721,-1.8114751134774
"CEACAM18",-1.38042629392258,4.62093908786317,-3.15188618257414,0.00338566675722086,0.101695570027677,-1.81284832508948
"TMEM150B",-1.18023211386416,7.00773825749684,-3.15020580134615,0.00340071433327601,0.1019640637047,-1.81672815411688
"TMIGD2",-0.641625394588811,5.28401340916255,-3.14984747206184,0.00340393133509081,0.1019640637047,-1.81755536322493
"SNHG9",0.413188963281576,5.16685278603955,3.1474342845528,0.00342567186431194,0.10247492018729,-1.82312499402555
"KIRREL3",0.567964757938081,5.05171281190676,3.1466090738161,0.00343313646565985,0.102507468815717,-1.82502907746151
"GNA11",-0.756313791383809,10.2317174439703,-3.14627801277848,0.00343613548460788,0.102507468815717,-1.82579289275843
"LPIN2",-0.64083740798227,10.2520663301287,-3.14558397763994,0.00344243070042234,0.102555357120075,-1.82739401882413
"NHS",0.540447771626009,6.96607134930621,3.1442743972284,0.00345433906007088,0.102770111872884,-1.83041470368078
"TCEA3",0.62482962543555,10.0157050680923,3.14369995853808,0.0034595749260534,0.102786039277187,-1.83173950359471
"INSL5",1.88995679314475,4.79165279536123,3.14279491096032,0.00346783951510554,0.102891786535703,-1.83382651897177
"KHDRBS2",0.50428287075225,4.69285299015429,3.13950817337125,0.00349801095612903,0.103485086695877,-1.841403055305
"DHX58",-0.489648290134756,6.83743415351218,-3.13949259810621,0.00349815452524482,0.103485086695877,-1.84143894947771
"FAM225B",-0.373960542047964,4.85545185583918,-3.13872005701077,0.00350528265688655,0.103485086695877,-1.84321920400965
"ADGB",0.716207380682234,4.67567102892463,3.13705204086289,0.00352072031003695,0.103485086695877,-1.8470622361451
"SYTL2",0.620345983534144,11.3189311148615,3.13703785653617,0.00352085186393885,0.103485086695877,-1.84709491167662
"ITPK1",-0.669426701515528,10.1648366101552,-3.13613091979901,0.00352927303828535,0.103485086695877,-1.84918400646727
"ABCB11",1.3895289746891,5.79988061801313,3.13611504864882,0.00352942057680642,0.103485086695877,-1.84922056230169
"TMEM72",0.837135567651829,5.18755508154939,3.13605923983647,0.00352993942314212,0.103485086695877,-1.84934910533034
"OPHN1",0.414734176700948,8.0403012779753,3.13539063927218,0.00353616094120547,0.103485086695877,-1.85088898465013
"GPR115",0.791080955368411,5.04512318662092,3.13523791807855,0.00353758351605773,0.103485086695877,-1.8512406989278
"PRSS23",0.835912097675929,9.4125223089604,3.13499008388953,0.00353989321116367,0.103485086695877,-1.85181143803713
"TPTE2P5",-0.5222693386801,6.76573980688202,-3.13386241805533,0.00355042061334108,0.103575074602872,-1.85440805448834
"AKR1C2",-0.615875514453878,7.5817590934943,-3.13364597893619,0.00355244459469311,0.103575074602872,-1.85490638238933
"SHBG",-0.974546126193956,5.22467135955444,-3.13262444645198,0.00356201202695303,0.103604941740899,-1.85725811233875
"SNORA76",0.436705705830358,4.94676727637424,3.13252498106696,0.00356294490278301,0.103604941740899,-1.85748707634644
"SLC2A2",-3.19127989872696,6.22388631317355,-3.13097373492905,0.00357752395064487,0.103890725403388,-1.86105747734337
"SNORA70",0.418850603834912,8.41283402796042,3.12999935498759,0.00358671040186969,0.104019358564568,-1.86329967724313
"MYEF2",0.60070449050748,7.46896184352864,3.12842796499464,0.00360157267888988,0.104312039429517,-1.86691493171078
"IDO2",-0.54511392659054,4.42732773574123,-3.12725068984002,0.00361274570418454,0.10449723586429,-1.86962284280992
"GNAI1",0.59377476666219,8.61579229584584,3.12612880608447,0.00362342365701213,0.104667642150442,-1.87220285547035
"PBLD",-1.00195348786302,10.3211872760086,-3.12477382500596,0.00363636016032881,0.104870099170554,-1.87531828766766
"SNORD58C",0.393889463905796,7.79103817385644,3.1241053794449,0.00364275819926835,0.104870099170554,-1.87685494993422
"HDHD3",-0.568292947976739,9.00333833444592,-3.12290602241837,0.00365426467063519,0.104870099170554,-1.8796116766309
"TSPO2",-0.349037019852383,4.50225946963851,-3.12221686588946,0.00366089194955048,0.104870099170554,-1.88119545773216
"ENDOD1",0.64673350330865,10.368020321809,3.12180548290736,0.00366485345453994,0.104870099170554,-1.88214078891371
"CASQ2",1.44488475239927,5.90647169699915,3.12158406585962,0.00366698732430102,0.104870099170554,-1.88264956410687
